Delegate Name,Delegate Contract,Aligned Voter Committee,Start Date,End Date,End Reason
BONAPUBLICA,0xf1423F5A97940349E105B0D1C860D3dCE87E56dB,new,2023-07-04,,
BLUE,0xe1FF7ECf038900dd14A1E7E3a8CCF23f71f6A1c2,new,2023-09-28,,
Penguin Soldier,0x5b4870014313c808c374F8eD1AB5b78813EB9c7f,legacy,2023-09-25,,
PBG,0xCFE1c10B90dC49A063742b6eb29D1bDc7e722aa2,new,2023-04-09,,
WBC,0xf1B837eC2Ad556DE5490F3fAB600afB36670380d,new,2023-07-10,,
Byteron,0x6276e3d47cce873400D4BA3664bfB4B9c8ECe79C,new,2023-10-31,,
Cloaky,0xB02e05c257291aCD65A527227aCA6b7662E047f4,new,2023-06-06,,
Ikagai,0xC0E23144db36101453BA5c426445ca5Bf20f6b71,legacy,2023-08-13,,
JuliaChang,0x5D4a96aFadb5505a8fF21ddeCa2Baf3A63301396,new,2024-02-27,,
Shanah,0xdbb451BFd4e6E461caa2C8bf0dC83346A211c29C,legacy,2023-10-02,,
Nimsen,0xa2c669dc868be0a2a8d6c0ad715e17f45035ba76,legacy,2023-08-29,,
Pipkin,0x45C52826EFA13A6DE713528BF42B520C9fA50081,legacy,2024-01-17,,
Vision,0x3200c191cc245b3e2de3fd3b3087104f3f313f57,legacy,2023-08-26,,
JAG,0x36124cee63ae786eea41bda0fb61b1b946e4c08c,legacy,2023-05-25,,
StoneWill,0x204A2B6ab6A675D1f82634F92799Ced2bDD641A2,legacy,2024-02-27,,
Rocky,0x5FaC03E07447C1A3f4aD9A5f778f23C9e1fC4255,legacy,2024-02-27,,
Jiaozi,0xc1a1bdb7d60b7cb3920787a15a2b583786c52fb6,legacy,2024-05-28,,
AegisD,0xd5515682c4fec4835e36d81fe28264d80602d637,new,2025-03-04,,
Excel,0x88252ed60c64925C3cFcb44ED15ba4b343ee1297,new,2025-04-04,,
Tango,0x4E4393f93ac7ba34648A82eA2248D9bDBb1Ff7e5,new,2025-04-04,,
Max Staking Yield,0xFf7615E05EC1C8D5dED24AB50Bf74432666BEE2f,new,2025-05-22,,
Sky Staking,0xE01684B17dF0aBBdAf97839277b194bE4E1A7E79,new,2025-05-22,,
