contract,mkr,date
0xb335e8b70f95f28e79acf58491751f83b0050888,20013.1178,2024-04-30
0xb18680092734394295d0591bb42f2bd3c184517e,12317.9788,2024-04-30
0x7938b304f1c28e85b6a021251c8ceeff20370f38,12038.694,2024-04-30
0xa346c2eea05bb32c986ff755b2f19d2f0ba8d14c,8600.0,2024-04-30
0x69b576a7e193a15a570ee5bb2149deb3f03537a2,8100.5285,2024-04-30
0xfe61acc408b63a5a03507a224398fa1fe8143f28,8078.7433,2024-04-30
0x445cb6c63c502fdbebd1b273f6aea1aad691e0aa,8011.5476,2024-04-30
0x58dc40b5f9f0758ee43b0a208fe362c90fdfad4d,8001.0031,2024-04-30
0x911682cb21d7e5bdc75544fb1fcf0fb8e9635acf,2778.0,2024-04-30
0x45c52826efa13a6de713528bf42b520c9fa50081,56.3744,2024-04-30
0xfbec297af3f4925966ab295a0771c420a9e85e08,32.3815,2024-04-30
0x8ea48c2264f1e5998c3ab3df3037903f8fae0caa,4.172,2024-04-30
0x27194176525a0088e3dc96973b22b01b15376ebd,1.6627,2024-04-30
0x5b0a4932dc9e253f9b15fd69f07b68e9874ea794,0.5262,2024-04-30
0xab3fd902e4dad36c6b31e3954a8de14dd829533c,0.5153,2024-04-30
0x0a907fe3adb890db7db27a7f21e188a4127b2e7c,0.5063,2024-04-30
0x644c092a5ccafc425ebf133123299a6397ae97d9,0.5,2024-04-30
0x5b4870014313c808c374f8ed1ab5b78813eb9c7f,0.5,2024-04-30
0x51f3067cb6a1185d1e8316332921d9501fc4c006,0.5,2024-04-30
0x3200c191cc245b3e2de3fd3b3087104f3f313f57,0.5,2024-04-30
0xb086ec4303dc1514c09618c6c68ee444d6eee041,0.2,2024-04-30
0x204a2b6ab6a675d1f82634f92799ced2bdd641a2,0.0506,2024-04-30
0xe2bfda5e1f59325e4b8df5feaa30e4ab6516bf28,0.0112,2024-04-30
0x952dc79bcee652aad8cc9268d9c614fa166d0c1d,0.0111,2024-04-30
0x8cc777ed9eb3a3b9087591697ecb7f60f256ce4f,0.0058,2024-04-30
