Delegate,Total Delegation,Rank,Date
cloaky,2269425645.99,1,2025-06-01
blue,2395418068.23,1,2025-06-02
blue,2415431306.68,1,2025-06-03
blue,2442356568.15,1,2025-06-04
blue,2457408128.0,1,2025-06-05
blue,2462796682.91,1,2025-06-06
blue,2467943458.11,1,2025-06-07
blue,2481682518.45,1,2025-06-08
blue,2482018563.97,1,2025-06-09
blue,2489995448.24,1,2025-06-10
blue,2489887910.65,1,2025-06-11
blue,2494689864.51,1,2025-06-12
blue,2498233125.73,1,2025-06-13
blue,2499652121.66,1,2025-06-14
blue,2498745330.93,1,2025-06-15
blue,2501775972.25,1,2025-06-16
blue,2501923467.78,1,2025-06-17
blue,2513301229.82,1,2025-06-18
blue,2513704745.28,1,2025-06-19
blue,2513942423.34,1,2025-06-20
blue,2514075065.65,1,2025-06-21
blue,2522370817.32,1,2025-06-22
blue,2524322003.22,1,2025-06-23
blue,2523885792.21,1,2025-06-24
blue,2524186405.65,1,2025-06-25
blue,2529937122.31,1,2025-06-26
blue,2555298787.14,1,2025-06-27
blue,2556212428.64,1,2025-06-28
blue,2556547908.76,1,2025-06-29
blue,2449847486.1,1,2025-06-30
blue,1817160640.96,2,2025-06-01
cloaky,2387525362.57,2,2025-06-02
cloaky,2390797669.01,2,2025-06-03
cloaky,2417381691.34,2,2025-06-04
cloaky,2042948269.86,2,2025-06-05
cloaky,2043838006.24,2,2025-06-06
cloaky,2043852127.73,2,2025-06-07
cloaky,2042507930.89,2,2025-06-08
cloaky,2042517722.82,2,2025-06-09
cloaky,2101080777.46,2,2025-06-10
cloaky,2101100415.21,2,2025-06-11
cloaky,2102997112.8,2,2025-06-12
cloaky,2099363321.85,2,2025-06-13
cloaky,2100421314.42,2,2025-06-14
cloaky,2100774903.2,2,2025-06-15
cloaky,2104813493.07,2,2025-06-16
cloaky,2105494428.01,2,2025-06-17
cloaky,2105494428.01,2,2025-06-18
cloaky,2107896925.94,2,2025-06-19
cloaky,2108116860.6,2,2025-06-20
cloaky,2108615833.73,2,2025-06-21
cloaky,2108518002.71,2,2025-06-22
cloaky,2117381303.19,2,2025-06-23
cloaky,2117608692.91,2,2025-06-24
cloaky,2117419758.49,2,2025-06-25
cloaky,2117884957.94,2,2025-06-26
cloaky,2120218465.32,2,2025-06-27
cloaky,2122057328.84,2,2025-06-28
cloaky,2122057328.84,2,2025-06-29
cloaky,2122609346.15,2,2025-06-30
bonapublica,1314210043.39,3,2025-06-01
bonapublica,936332499.91,3,2025-06-02
bonapublica,943197509.56,3,2025-06-03
bonapublica,942900329.35,3,2025-06-04
bonapublica,944028953.76,3,2025-06-05
bonapublica,945984996.76,3,2025-06-06
bonapublica,946104127.51,3,2025-06-07
bonapublica,946178038.8,3,2025-06-08
bonapublica,946235435.89,3,2025-06-09
bonapublica,950882238.9,3,2025-06-10
bonapublica,950976454.32,3,2025-06-11
bonapublica,951699212.09,3,2025-06-12
bonapublica,952021180.49,3,2025-06-13
bonapublica,952157241.28,3,2025-06-14
bonapublica,952170372.81,3,2025-06-15
bonapublica,952232903.44,3,2025-06-16
bonapublica,952347348.5,3,2025-06-17
bonapublica,952365315.37,3,2025-06-18
bonapublica,952383411.75,3,2025-06-19
bonapublica,952485834.16,3,2025-06-20
bonapublica,951977391.31,3,2025-06-21
bonapublica,952075703.85,3,2025-06-22
bonapublica,952117809.63,3,2025-06-23
bonapublica,952097816.83,3,2025-06-24
bonapublica,952141811.34,3,2025-06-25
bonapublica,952404160.77,3,2025-06-26
bonapublica,952696072.77,3,2025-06-27
bonapublica,952696072.77,3,2025-06-28
bonapublica,952859542.88,3,2025-06-29
bonapublica,954360094.18,3,2025-06-30
wbc,25343403.09,4,2025-06-01
wbc,28676253.18,4,2025-06-02
wbc,28054725.47,4,2025-06-03
wbc,29593127.64,4,2025-06-04
tango,379237858.63,4,2025-06-05
tango,380021202.47,4,2025-06-06
tango,380292364.2,4,2025-06-07
tango,380265183.75,4,2025-06-08
tango,380472092.67,4,2025-06-09
tango,380472359.48,4,2025-06-10
tango,380522433.5,4,2025-06-11
tango,380522433.5,4,2025-06-12
tango,380522433.5,4,2025-06-13
tango,380524395.69,4,2025-06-14
tango,380534381.63,4,2025-06-15
tango,382365360.89,4,2025-06-16
tango,382382386.49,4,2025-06-17
tango,382406609.43,4,2025-06-18
tango,382529140.11,4,2025-06-19
tango,382529140.11,4,2025-06-20
tango,382532837.63,4,2025-06-21
tango,382532837.63,4,2025-06-22
tango,382559419.3,4,2025-06-23
tango,382559419.3,4,2025-06-24
tango,382559419.3,4,2025-06-25
tango,382559419.3,4,2025-06-26
tango,382584568.18,4,2025-06-27
tango,382687013.39,4,2025-06-28
tango,382709079.58,4,2025-06-29
tango,382687013.39,4,2025-06-30
sky staking,7175920.02,5,2025-06-01
sky staking,20260487.69,5,2025-06-02
sky staking,21167192.62,5,2025-06-03
sky staking,21797767.12,5,2025-06-04
wbc,29593127.64,5,2025-06-05
wbc,29617927.28,5,2025-06-06
wbc,29617880.66,5,2025-06-07
wbc,29628541.62,5,2025-06-08
wbc,29630541.62,5,2025-06-09
wbc,29230541.62,5,2025-06-10
pbg,37588892.83,5,2025-06-11
pbg,37588892.83,5,2025-06-12
pbg,37620433.97,5,2025-06-13
pbg,37742872.42,5,2025-06-14
pbg,37742872.42,5,2025-06-15
sky staking,30826616.72,5,2025-06-16
sky staking,30866979.47,5,2025-06-17
sky staking,30866979.47,5,2025-06-18
sky staking,30925510.64,5,2025-06-19
sky staking,30929989.31,5,2025-06-20
sky staking,30929989.31,5,2025-06-21
sky staking,31988432.12,5,2025-06-22
sky staking,31988432.12,5,2025-06-23
sky staking,32834974.57,5,2025-06-24
sky staking,32974392.69,5,2025-06-25
sky staking,33037502.12,5,2025-06-26
sky staking,33063674.61,5,2025-06-27
sky staking,33063674.61,5,2025-06-28
sky staking,34196313.77,5,2025-06-29
sky staking,29770463.52,5,2025-06-30
excel,2587216.22,6,2025-06-01
excel,5765195.58,6,2025-06-02
excel,6213685.0,6,2025-06-03
pbg,15676728.19,6,2025-06-04
sky staking,22160550.93,6,2025-06-05
sky staking,22348990.53,6,2025-06-06
sky staking,22618261.71,6,2025-06-07
sky staking,22682361.71,6,2025-06-08
sky staking,22721112.02,6,2025-06-09
sky staking,22744824.7,6,2025-06-10
wbc,29287329.0,6,2025-06-11
wbc,26345691.69,6,2025-06-12
sky staking,28334958.36,6,2025-06-13
wbc,28824411.69,6,2025-06-14
sky staking,30861262.71,6,2025-06-15
wbc,28826320.29,6,2025-06-16
wbc,28831130.84,6,2025-06-17
wbc,28831130.84,6,2025-06-18
wbc,28831130.84,6,2025-06-19
wbc,28831130.84,6,2025-06-20
wbc,28832770.3,6,2025-06-21
wbc,28832770.3,6,2025-06-22
wbc,28832770.3,6,2025-06-23
wbc,28832770.3,6,2025-06-24
wbc,28832770.3,6,2025-06-25
wbc,28832770.3,6,2025-06-26
wbc,28839924.37,6,2025-06-27
wbc,28839924.37,6,2025-06-28
wbc,28842064.52,6,2025-06-29
wbc,28660134.52,6,2025-06-30
aegisd,1388318.93,7,2025-06-01
pbg,3500363.76,7,2025-06-02
pbg,3587723.76,7,2025-06-03
max staking yield,3322365.44,7,2025-06-04
pbg,15676728.19,7,2025-06-05
pbg,15756521.05,7,2025-06-06
pbg,15756521.05,7,2025-06-07
pbg,15756521.05,7,2025-06-08
pbg,15980521.05,7,2025-06-09
pbg,15980521.05,7,2025-06-10
sky staking,23616261.66,7,2025-06-11
sky staking,23763799.92,7,2025-06-12
wbc,26345691.69,7,2025-06-13
sky staking,28397133.05,7,2025-06-14
wbc,28826320.29,7,2025-06-15
pbg,16912413.85,7,2025-06-16
pbg,16912413.85,7,2025-06-17
pbg,17322289.48,7,2025-06-18
pbg,17322289.48,7,2025-06-19
pbg,17323228.48,7,2025-06-20
pbg,17323228.48,7,2025-06-21
pbg,17323228.48,7,2025-06-22
pbg,17752135.96,7,2025-06-23
pbg,17752135.96,7,2025-06-24
pbg,17752135.96,7,2025-06-25
pbg,17752135.96,7,2025-06-26
pbg,17752135.96,7,2025-06-27
pbg,17752135.96,7,2025-06-28
